id,titulo,empresa,localidade,estado,modalidade,nivel,salario_min,salario_max,descricao,salario_medio,titulo_normalizado,descricao_normalizada,skills,qtd_skills
12,Estagiario de Dados,LogiTrack,Sao Paulo,SP,Remoto,Estagio,1300,1900,"Extrair dados de planilhas e APIs, limpar bases com Python e gerar visualizacoes em Power BI.",1600.0,estagiario de dados,"extrair dados de planilhas e apis, limpar bases com python e gerar visualizacoes em power bi.","['Python', 'Power BI', 'Google Sheets', 'APIs']",4
13,Analista de Dados Junior,RetailPro,Salvador,BA,Hibrido,Junior,2700,3600,"Criar analises de vendas com SQL, Excel, Python e storytelling para apresentacoes executivas.",3150.0,analista de dados junior,"criar analises de vendas com sql, excel, python e storytelling para apresentacoes executivas.","['SQL', 'Python', 'Excel']",3
14,Estagio em BI,InsureLab,Barueri,SP,Hibrido,Estagio,1200,1800,"Apoiar modelagem de dados, atualizar Power BI, escrever consultas SQL e documentar processos.",1500.0,estagio em bi,"apoiar modelagem de dados, atualizar power bi, escrever consultas sql e documentar processos.","['SQL', 'Power BI']",2
15,Analista de Dados Jr,PeopleOps,Rio de Janeiro,RJ,Remoto,Junior,2900,3900,"Analisar dados de RH, criar metricas, tratar bases em Pandas, SQL e construir dashboards.",3400.0,analista de dados jr,"analisar dados de rh, criar metricas, tratar bases em pandas, sql e construir dashboards.","['SQL', 'Pandas']",2
16,Estagiario Data Analytics,BankLite,Brasilia,DF,Hibrido,Estagio,1600,2400,"Apoiar analises financeiras com SQL, Python, Excel e visualizacoes para tomada de decisao.",2000.0,estagiario data analytics,"apoiar analises financeiras com sql, python, excel e visualizacoes para tomada de decisao.","['SQL', 'Python', 'Excel']",3
17,Assistente de Dados,AutoParts,Joinville,SC,Presencial,Entrada,2000,2600,"Tratar dados de estoque, criar indicadores em Excel, atualizar dashboards e validar cadastros.",2300.0,assistente de dados,"tratar dados de estoque, criar indicadores em excel, atualizar dashboards e validar cadastros.",['Excel'],1
18,Analista BI Junior,MediaSpark,Sao Paulo,SP,Remoto,Junior,3100,4300,"Criar relatorios de marketing, trabalhar com Looker Studio, SQL, Power BI e analise de funil.",3700.0,analista bi junior,"criar relatorios de marketing, trabalhar com looker studio, sql, power bi e analise de funil.","['SQL', 'Power BI', 'Looker Studio']",3
19,Estagio em Analytics,MobiPay,Fortaleza,CE,Remoto,Estagio,1200,1900,"Apoiar extracao e analise de dados com SQL, Python e Google Sheets. Criar graficos e insights.",1550.0,estagio em analytics,"apoiar extracao e analise de dados com sql, python e google sheets. criar graficos e insights.","['SQL', 'Python', 'Google Sheets']",3
20,Analista de Dados Junior,GreenGrid,Curitiba,PR,Hibrido,Junior,3000,4100,"Construir analises operacionais, limpar dados com Pandas, usar SQL e apresentar resultados.",3550.0,analista de dados junior,"construir analises operacionais, limpar dados com pandas, usar sql e apresentar resultados.","['SQL', 'Pandas']",2
21,Estagiario de BI,ShopFast,Sao Paulo,SP,Hibrido,Estagio,1400,2100,"Suporte a dashboards de e-commerce, Power BI, Excel, SQL e definicao de KPIs.",1750.0,estagiario de bi,"suporte a dashboards de e-commerce, power bi, excel, sql e definicao de kpis.","['SQL', 'Power BI', 'Excel']",3
22,Assistente de Analytics,TravelGo,Rio de Janeiro,RJ,Presencial,Entrada,2200,3000,"Organizar dados de campanhas, criar dashboards em Looker Studio e analisar metricas de conversao.",2600.0,assistente de analytics,"organizar dados de campanhas, criar dashboards em looker studio e analisar metricas de conversao.",['Looker Studio'],1
23,Estagio em Dados,DataCare,Campinas,SP,Remoto,Estagio,1300,2000,"Usar Python, Pandas, SQL e estatistica basica para apoiar analises de produto.",1650.0,estagio em dados,"usar python, pandas, sql e estatistica basica para apoiar analises de produto.","['SQL', 'Python', 'Pandas', 'Estatistica']",4
24,Analista de Dados Junior,NeoBank,Sao Paulo,SP,Hibrido,Junior,3500,5000,"Criar consultas SQL, dashboards Power BI, analises de cohort e relatorios para lideranca.",4250.0,analista de dados junior,"criar consultas sql, dashboards power bi, analises de cohort e relatorios para lideranca.","['SQL', 'Power BI']",2
